"Printer","Model","Serial Number","Memory","Print Speed","Color","Duplex","Copy","Scan to Fax","Scan to Email","Scan to Network","Fax Receive","Workflow Profile Capable","eSF Capable"
"157.184.127.41","Lexmark Pro910 Series","4449129901KTP","","","","","","","","","","",""
"157.184.127.46","Baylor","4063117900007","","","","","","","","","","",""
"157.184.127.61","Lexmark C544","98200ZB","","","","","","","","","","",""
"157.184.127.70","Lexmark C544","946911D","","","","","","","","","","",""
"157.184.127.69","Suzuki","4514207200073","","","","","","","","","","",""
"157.184.127.90","Griffey","406324990002X","","","","","","","","","","",""
"157.184.127.104","Lexmark C780 4600 MFP","940P03G","","","","","","","","","","",""
"157.184.127.158","Lexmark C752","98100K4","","","","","","","","","","",""
"157.184.127.161","Lexmark C540","9452PTK","","","","","","","","","","",""
"157.184.127.164","Pedroia","451420720000V","","","","","","","","","","",""
"157.184.127.144","Burroughs","4514PTB300705","","","","","","","","","","",""
"157.184.127.176","Lexmark Pro5500 Series","444701170003P","","","","","","","","","","",""
"157.184.127.223","Lexmark C543","1234567","","","","","","","","","","",""
"157.184.134.15","Lexmark X854e","0654830","","","","","","","","","","",""
"157.184.134.21","Lexmark X945e","0210316","","","","","","","","","","",""
"157.184.134.24","Lexmark X952","7558100403324","","","","","","","","","","",""
"157.184.134.23","Lexmark C792","5062019400TD5","","","","","","","","","","",""
"157.184.134.27","Lexmark X945e","0213583","","","","","","","","","","",""
"157.184.134.36","Lexmark X864de","2400451","","","","","","","","","","",""
"157.184.127.170","Nucleus SNMP Agent","","","","","","","","","","","",""
"157.184.138.31","Lexmark X864de","0610690","","","","","","","","","","",""
"157.184.138.42","Lexmark X656de","793ZDZV","","","","","","","","","","",""
"157.184.138.30","Lexmark X656de","NIA3FL00","","","","","","","","","","",""
"157.184.138.108","Lexmark MS310d","00000000000000000000000000000000","","","","","","","","","","",""
"157.184.139.7","Lexmark X792e","NJDGB07","","","","","","","","","","",""
"157.184.139.4","Lexmark T654","7940KRD","","","","","","","","","","",""
"157.184.139.40","Lexmark MX410de","701520720000D","","","","","","","","","","",""
"157.184.139.3","Dell B5460dn Laser Printer","UXZZ9Y","","","","","","","","","","",""
"157.184.139.10","Lexmark CX310","00000000000000000000000000000000","","","","","","","","","","",""
"157.184.139.24","Lexmark CS510","502794PTB2198","","","","","","","","","","",""
"157.184.139.20","Lexmark MX811","7463249900019","","","","","","","","","","",""
"157.184.139.11","Lexmark MX510","4514PTB301071","","","","","","","","","","",""
"157.184.139.5","ModelName","","","","","","","","","","","",""
"157.184.139.27","Lexmark Xxxx","1GLYB4","","","","","","","","","","",""
"157.184.139.34","Lexmark H4b","4514PTB300445","","","","","","","","","","",""
"157.184.139.50","Lexmark X940e","MA590500","","","","","","","","","","",""
"157.184.139.28","Lexmark X543","752794PTB2026","","","","","","","","","","",""
"157.184.139.39","Lexmark X738","752694PTBA058","","","","","","","","","","",""
"157.184.139.35","Lexmark Pro5500 Series","","","","","","","","","","","",""
"157.184.139.46","Lexmark X656de","793GCM5","","","","","","","","","","",""
"157.184.139.95","Lexmark 6500e","4036106600161","","","","","","","","","","",""
"157.184.139.29","Lexmark MS510dn","M6Y0WI","","","","","","","","","","",""
"157.184.139.64","Lexmark X544","752794PTB2125","","","","","","","","","","",""
"157.184.139.57","Lexmark X850e","L3774C00","","","","","","","","","","",""
"157.184.139.49","Lexmark CS310","502794ptb1140","","","","","","","","","","",""
"157.184.139.53","ModelName","","","","","","","","","","","",""
"157.184.139.78","Lexmark C734","9420029","","","","","","","","","","",""
"157.184.139.86","Lexmark MS810","406312790009H","","","","","","","","","","",""
"157.184.139.80","ModelName","","","","","","","","","","","",""
"157.184.139.82","Lexmark MS810","MWY187","","","","","","","","","","",""
"157.184.139.99","Lexmark X546","752794PTB2187","","","","","","","","","","",""
"157.184.139.112","Lexmark He","4514PTB300555","","","","","","","","","","",""
"157.184.139.119","Lexmark X651de","UWBEPU","","","","","","","","","","",""
"157.184.139.220","Lexmark Pro5000 Series","","","","","","","","","","","",""
"157.184.140.129","Celadon Ln LV","PLT1105","","","","","","","","","","",""
"157.184.139.52","Lexmark X654de","PLT2029","","","","","","","","","","",""
"157.184.140.146","Lexmark X543dn","Y4WNHU00","","","","","","","","","","",""
"157.184.140.132","Lexmark CX310","752794PTB1095","","","","","","","","","","",""
"157.184.140.184","Lexmark X738de","PLT3010","","","","","","","","","","",""
"157.184.140.174","Lexmark X364dn","3506F1Z","","","","","","","","","","",""
"157.184.140.193","Lexmark X654de","793083K","","","","","","","","","","",""
"157.184.140.198","Lexmark X466de","0607212","","","","","","","","","","",""
"157.184.141.96","Lexmark X463de","72B100P","","","","","","","","","","",""
"157.184.141.109","Lexmark X544DN","98B01NG","","","","","","","","","","",""
"157.184.141.107","Lexmark X364dn","72S101R","","","","","","","","","","",""
"157.184.141.127","Lexmark Pro910 Series","J4850UADVT20371","","","","","","","","","","",""
"157.184.141.217","Lexmark X945e","0291009","","","","","","","","","","",""
"157.184.141.218","Lexmark T630","DEL7T000","","","","","","","","","","",""
"157.184.141.241","Lexmark X463de","35P3GPF","","","","","","","","","","",""
"157.184.142.39","Lexmark X945e","NVQV0R43","","","","","","","","","","",""
"157.184.142.36","Killebrew","4063117900001","","","","","","","","","","",""
"157.184.42.219","Lexmark MS812","4063249900006","","","","","","","","","","",""
"157.184.142.65","Lexmark Hdn","0603130","","","","","","","","","","",""
"157.184.142.82","Lexmark X736","94349CH","","","","","","","","","","",""
"157.184.142.89","HP LaserJet M4555 MFP","CNBCC5404Y","","","","","","","","","","",""
"157.184.142.75","Lexmark MS310d","MWY187","","","","","","","","","","",""
"157.184.142.109","Lexmark C782","SLPSEY00","","","","","","","","","","",""
"157.184.142.64","Lexmark CS310","N8FXPU","","","","","","","","","","",""
"157.184.142.130","Lexmark X651de","WH2M8700","","","","","","","","","","",""
"157.184.142.126","Lexmark X264dn","72S100L","","","","","","","","","","",""
"157.184.142.140","Lexmark W850","NYSVHB80","","","","","","","","","","",""
"157.184.142.144","Lexmark X466de","0226243","","","","","","","","","","",""
"157.184.142.211","Pendleton","7015207200040","","","","","","","","","","",""
"157.184.58.103","Powell","4514PTB300259","","","","","","","","","","",""
"157.184.142.191","Lexmark MS810","MWY187","","","","","","","","","","",""
"157.184.142.159","Lexmark E460dn","NOZXW6U0","","","","","","","","","","",""
"157.184.142.45","Lexmark X738de","PBMDUC00","","","","","","","","","","",""
"157.184.142.44","Lexmark X734de","N659SV40","","","","","","","","","","",""
"157.184.142.200","Lexmark MS812","U9ZW4C","","","","","","","","","","",""
"157.184.142.176","Lexmark CX310","M6Y0WI","","","","","","","","","","",""
"157.184.142.135","Lexmark X651de","5","","","","","","","","","","",""
"157.184.142.207","Lexmark 6500e","UWBEPU","","","","","","","","","","",""
"157.184.142.49","Lexmark X864de","0655310","","","","","","","","","","",""
"157.184.142.50","Lexmark X651de","746312790005B","","","","","","","","","","",""
"157.184.142.196","Lexmark CS310","UUYH75","","","","","","","","","","",""
"157.184.142.239","Lexmark T656","NWV71850","","","","","","","","","","",""
"157.184.142.224","Lexmark X463de","UYVFC500","","","","","","","","","","",""
"157.184.142.244","Lexmark X734de","MRN5Y500","","","","","","","","","","",""
"157.184.142.160","Lexmark X543","752794PTB2025","","","","","","","","","","",""
"157.184.142.127","Lexmark MS812","4063127900079","","","","","","","","","","",""
"157.184.145.134","Lexmark X852e","0630022","","","","","","","","","","",""
"157.184.145.136","Lexmark X738de","94217NC","","","","","","","","","","",""
"157.184.145.137","Lexmark X792","756201940019W","","","","","","","","","","",""
"157.184.145.140","Lexmark X792","7562009400051","","","","","","","","","","",""
"157.184.145.189","Lexmark MX711","746324990003F","","","","","","","","","","",""
"157.184.145.138","Lexmark X792","7562019400179","","","","","","","","","","",""
"157.184.139.56","ModelName","","","","","","","","","","","",""
"157.184.146.77","Lexmark X656de","7931PWK","","","","","","","","","","",""
"157.184.139.73","Lexmark X792e","XGJMFI","","","","","","","","","","",""
"157.184.139.88","Lexmark C540","N0Y6QR80","","","","","","","","","","",""
"157.184.146.99","Lexmark T656","793MX4C","","","","","","","","","","",""
"157.184.146.90","Lexmark X864de","2400181","","","","","","","","","","",""
"157.184.146.102","Lexmark X945e","0210002","","","","","","","","","","",""
"157.184.146.103","Lexmark X656de","792Y5Z5","","","","","","","","","","",""
"157.184.146.107","Lexmark T656","793MX4Z","","","","","","","","","","",""
"157.184.139.116","Lexmark X860de","NJRUQQ40","","","","","","","","","","",""
"157.184.139.127","Lexmark X925","5000106","","","","","","","","","","",""
"157.184.139.137","Lexmark X651de","WC8XMU00","","","","","","","","","","",""
"157.184.146.106","Lexmark X656de","792X9N3","","","","","","","","","","",""
"157.184.146.100","Lexmark X656de","792X9KK","","","","","","","","","","",""
"157.184.146.104","Lexmark X656de","792Y611","","","","","","","","","","",""
"157.184.139.118","ModelName","","","","","","","","","","","",""
"157.184.139.135","Lexmark MX812","","","","","","","","","","","",""
"157.184.139.114","Lexmark MX710","","","","","","","","","","","",""
"157.184.146.121","Lexmark X738de","94376ZY","","","","","","","","","","",""
"157.184.146.110","Lexmark X658de","793CLC7","","","","","","","","","","",""
"157.184.146.126","Lexmark T656","793MX5X","","","","","","","","","","",""
"157.184.146.116","Source Technologies ST-9630","7930GZ5","","","","","","","","","","",""
"157.184.146.120","Lexmark X656de","793800K","","","","","","","","","","",""
"157.184.146.124","Lexmark X658de","7938P9D","","","","","","","","","","",""
"157.184.146.112","Lexmark X658de","7938P91","","","","","","","","","","",""
"157.184.146.114","Lexmark T654","7930LC9","","","","","","","","","","",""
"157.184.146.109","Lexmark Pro5500 Series","4447011700098","","","","","","","","","","",""
"157.184.146.122","Lexmark X925","7541003200524","","","","","","","","","","",""
"157.184.146.108","Lexmark X466de","35P1TY0","","","","","","","","","","",""
"157.184.146.118","Lexmark C950","5058100","","","","","","","","","","",""
"157.184.146.125","Lexmark X548","752500946077F","","","","","","","","","","",""
"157.184.139.121","ModelName","","","","","","","","","","","",""
"157.184.139.128","Lexmark MS812","","","","","","","","","","","",""
"157.184.139.126","Lexmark X925","U5WE2I","","","","","","","","","","",""
"157.184.139.129","Lexmark C925","3000105","","","","","","","","","","",""
"157.184.142.77","KONICA MINOLTA pagepro 5650","","","","","","","","","","","",""
"157.184.152.16","HP Color LaserJet CM2320nf MFP","CND99C9T16","","","","","","","","","","",""
"157.184.152.18","Lexmark Pro4000 Series","44470117000M1","","","","","","","","","","",""
"157.184.139.70","Lexmark C736","NESUOWI0","","","","","","","","","","",""
"157.184.152.41","HP LaserJet CM1415fnw","CNH8CDBR28","","","","","","","","","","",""
"157.184.152.43","Lexmark Pro4000 Series","4447011700013","","","","","","","","","","",""
"157.184.152.49","Lexmark Pro5500 Series","44470117003GF","","","","","","","","","","",""
"157.184.152.42","Lexmark Pro4000 Series","4447011700BYD","","","","","","","","","","",""
"157.184.152.60","HP Color LaserJet CM1312nfi MFP","CNB884M9B7","","","","","","","","","","",""
"157.184.152.56","Lexmark X544","98B0HL4","","","","","","","","","","",""
"157.184.152.57","Lexmark X546","94F6Z92","","","","","","","","","","",""
"157.184.152.82","Lexmark Pro5500 Series","44470117000LB","","","","","","","","","","",""
"157.184.152.91","Lexmark Pro5500 Series","44470117000MP","","","","","","","","","","",""
"157.184.152.80","Lexmark Pro5500 Series","EVERDVT4AIO8029","","","","","","","","","","",""
"157.184.152.108","Lexmark Pro5500 Series","44470117000G6","","","","","","","","","","",""
"157.184.152.105","Lexmark Pro5500 Series","44470117000BB","","","","","","","","","","",""
"157.184.152.207","Dell 5535dn Laser MFP","","","","","","","","","","","",""
"157.184.152.208","Lexmark MS812","406324990003L","","","","","","","","","","",""
"157.184.152.212","Lexmark C534","941FWVW","","","","","","","","","","",""
"157.184.152.211","Lexmark MX812","746312790006H","","","","","","","","","","",""
"157.184.152.238","Lexmark X792","7562029400MMP","","","","","","","","","","",""
"157.184.152.237","Lexmark MS812","M91JB4","","","","","","","","","","",""
"157.184.152.245","Lexmark MX711","F3PGSS1","","","","","","","","","","",""
"157.184.152.31","Lexmark X792","7562029400851","","","","","","","","","","",""
"157.184.154.5","Lexmark C762","940H2Z1","","","","","","","","","","",""
"157.184.154.169","Lexmark X738de","9432N0X","","","","","","","","","","",""
"157.184.154.173","Lexmark T642","79001Y1","","","","","","","","","","",""
"157.184.152.29","Samsung CLX-3170 Series","1461BAIQ504542M","","","","","","","","","","",""
"157.184.152.17","Canon iPF8100","","","","","","","","","","","",""
"157.184.154.15","Lexmark X500 Series","","","","","","","","","","","",""
"157.184.161.132","Lexmark X738de","9432TNZ","","","","","","","","","","",""
"157.184.161.133","Lexmark X656de","793Z6WY","","","","","","","","","","",""
"157.184.161.135","Lexmark X656de","793Z6R2","","","","","","","","","","",""
"157.184.161.142","Lexmark X945e","0214451","","","","","","","","","","",""
"157.184.161.151","Lexmark X945e","0211780","","","","","","","","","","",""
"157.184.161.149","Lexmark T656","793YRHT","","","","","","","","","","",""
"157.184.161.152","Lexmark X658de","7931W9X","","","","","","","","","","",""
"157.184.161.143","Lexmark X945e","0213947","","","","","","","","","","",""
"157.184.160.248","Lexmark X950de","XE6K0C","","","","","","","","","","",""
"157.184.164.17","Lexmark X945e","0213934","","","","","","","","","","",""
"157.184.164.15","Lexmark T644","79023KX","","","","","","","","","","",""
"157.184.164.22","Lexmark T644 4600 MFP","7901LBT","","","","","","","","","","",""
"157.184.164.54","Lexmark X651de","DVT0062","","","","","","","","","","",""
"157.184.164.70","Dell 5535dn Laser MFP","","","","","","","","","","","",""
"157.184.164.68","Lexmark X654de","79G08N5","","","","","","","","","","",""
"157.184.164.80","Lexmark H4b","4514PTB300204","","","","","","","","","","",""
"157.184.164.123","Lexmark C772","940P01V","","","","","","","","","","",""
"157.184.164.120","Lexmark X792","DVT0183","","","","","","","","","","",""
"157.184.164.144","Lexmark X736de","DVTR005","","","","","","","","","","",""
"157.184.164.163","Lexmark Optra W810","W807648","","","","","","","","","","",""
"157.184.164.205","Lexmark T654","79405G6","","","","","","","","","","",""
"157.184.164.181","Lexmark MS410dn","451420720000D","","","","","","","","","","",""
"157.184.164.171","Lexmark Pro4000 Series","4447011700KY9","","","","","","","","","","",""
"157.184.165.14","Lexmark X654de","7930809","","","","","","","","","","",""
"157.184.164.226","Lexmark X646e","792PXP7","","","","","","","","","","",""
"157.184.164.225","Lexmark T644 4600 MFP","7917MHC","","","","","","","","","","",""
"157.184.164.247","Lexmark Pro5500 Series","44470117001H7","","","","","","","","","","",""
"157.184.165.53","Lexmark X658de","79341yf","","","","","","","","","","",""
"157.184.165.74","Lexmark X656de","794F4TY","","","","","","","","","","",""
"157.184.165.58","Lexmark X658de","794F5V8","","","","","","","","","","",""
"157.184.165.43","Lexmark C792","50620194000GK","","","","","","","","","","",""
"157.184.165.49","Lexmark X548dte","VKDVT19400024","","","","","","","","","","",""
"157.184.165.71","Lexmark C792","5062009400013","","","","","","","","","","",""
"157.184.165.17","Lexmark X646e","790K088","","","","","","","","","","",""
"157.184.165.129","Lexmark X656de","792ZR39","","","","","","","","","","",""
"157.184.165.220","Lexmark X548","752500946060K","","","","","","","","","","",""
"157.184.164.232","Lexmark C544","98102DZ","","","","","","","","","","",""
"157.184.165.228","Lexmark X792","75620294002ZX","","","","","","","","","","",""
"157.184.166.15","Lexmark X792","N1V6FQ8000000","","","","","","","","","","",""
"157.184.166.18","Lexmark C540","9454430","","","","","","","","","","",""
"157.184.166.34","Lexmark S510 Series","J4830UADVT20120","","","","","","","","","","",""
"157.184.166.14","Lexmark Pro4000 Series","4447G7170000B","","","","","","","","","","",""
"157.184.168.33","Lexmark C736","9410727","","","","","","","","","","",""
"157.184.168.32","Lexmark X463de","35P24MR","","","","","","","","","","",""
"157.184.168.40","Lexmark X264dn","3501834","","","","","","","","","","",""
"157.184.168.55","Lexmark X464de","35P02XP","","","","","","","","","","",""
"157.184.168.69","Lexmark MS812","40631279000B7","","","","","","","","","","",""
"157.184.168.103","Lexmark MS810","406324990001W","","","","","","","","","","",""
"157.184.168.11","Lexmark X945e","4Z1JTU00","","","","","","","","","","",""
"157.184.172.12","Lexmark X656de","793ZNZT","","","","","","","","","","",""
"157.184.172.17","Lexmark X658de","794CH1D","","","","","","","","","","",""
"157.184.172.24","Lexmark X738de","9432TZM","","","","","","","","","","",""
"157.184.172.25","Lexmark C782 4600 MFP","940X5YR","","","","","","","","","","",""
"157.184.172.32","Lexmark X945e","0210850","","","","","","","","","","",""
"157.184.172.31","Lexmark X656de","79G186L","","","","","","","","","","",""
"157.184.172.35","Lexmark X952","7558100403626","","","","","","","","","","",""
"157.184.172.28","Lexmark T632","9910439","","","","","","","","","","",""
"157.184.172.29","Lexmark C782 4600 MFP","940X60R","","","","","","","","","","",""
"157.184.172.45","Lexmark X945e","0210105","","","","","","","","","","",""
"157.184.172.38","Source Technologies ST-9630","7942DCG","","","","","","","","","","",""
"157.184.172.34","Lexmark X738de","9421H73","","","","","","","","","","",""
"157.184.172.39","Lexmark T644","790231L","","","","","","","","","","",""
"157.184.172.41","Lexmark X656de","793Z6VC","","","","","","","","","","",""
"157.184.172.43","Lexmark X656de","793Z6NW","","","","","","","","","","",""
"157.184.172.42","Lexmark T656","7942M57","","","","","","","","","","",""
"157.184.172.40","Lexmark X422","8907BZR","","","","","","","","","","",""
"157.184.172.50","Lexmark X738de","94341YG","","","","","","","","","","",""
"157.184.172.49","Lexmark X952","7558100403864","","","","","","","","","","",""
"157.184.172.151","OKI MB780","794K2MM","","","","","","","","","","",""
"157.184.172.159","Lexmark X792","756202940076H","","","","","","","","","","",""
"157.184.172.178","Lexmark X654de","PLT2021","","","","","","","","","","",""
"157.184.172.172","Lexmark X736de","9433WBB","","","","","","","","","","",""
"157.184.172.173","Lexmark X658de","793V0TG","","","","","","","","","","",""
"157.184.172.177","Lexmark X656de","793527W","","","","","","","","","","",""
"157.184.172.181","Lexmark X466de","35P0H0M","","","","","","","","","","",""
"157.184.172.97","Lexmark X466dte","0226242","","","","","","","","","","",""
"157.184.164.153","Nucleus SNMP Agent","","","","","","","","","","","",""
"157.184.174.31","Lexmark X940e","MA590500","","","","","","","","","","",""
"157.184.174.34","Lexmark X646e","7924TBT","","","","","","","","","","",""
"157.184.174.32","Lexmark X646e","79233YZ","","","","","","","","","","",""
"157.184.174.58","Lexmark Pro5500 Series","RBDVT5AIO6006","","","","","","","","","","",""
"157.184.174.73","Lexmark Pro5500 Series","K200DVT4AIO3018","","","","","","","","","","",""
"157.184.174.162","Lexmark Pro5500 Series","444701170017B","","","","","","","","","","",""
"157.184.174.199","Lexmark Pro5500 Series","44470117003VD","","","","","","","","","","",""
"157.184.174.200","Lexmark Pro5500 Series","4447011700432","","","","","","","","","","",""
"157.184.174.215","Lexmark Pro5000 Series","","","","","","","","","","","",""
"157.184.174.185","Lexmark Pro5500 Series","44470117001RF","","","","","","","","","","",""
"157.184.174.211","Lexmark Pro1000 Series","412801170000T","","","","","","","","","","",""
"157.184.174.213","Lexmark Pro5500 Series","444701170002F","","","","","","","","","","",""
"157.184.174.203","Lexmark Pro4000 Series","4447011700LW0","","","","","","","","","","",""
"157.184.174.202","Lexmark Pro5500 Series","4447011700439","","","","","","","","","","",""
"157.184.174.212","Lexmark Pro1000 Series","412801170000X","","","","","","","","","","",""
"157.184.174.201","Lexmark Pro4000 Series","4447011700LNC","","","","","","","","","","",""
"157.184.174.222","Lexmark Pro4000 Series","44470117008W6","","","","","","","","","","",""
"157.184.175.15","Lexmark X854e","0656228","","","","","","","","","","",""
"157.184.175.58","Lexmark Pro5500 Series","4447A1170000G","","","","","","","","","","",""
"157.184.175.63","Lexmark Pro5500 Series","44470117001FP","","","","","","","","","","",""
"157.184.175.94","Lexmark Pro5000 Series","4447C3170001C","","","","","","","","","","",""
"157.184.175.100","Lexmark Pro4000 Series","44470217001FT","","","","","","","","","","",""
"157.184.175.98","Lexmark Pro4000 Series","44470217001FH","","","","","","","","","","",""
"157.184.175.108","Lexmark Pro910 Series","44491199018MV","","","","","","","","","","",""
"157.184.175.114","Lexmark Pro5500 Series","444701170003V","","","","","","","","","","",""
"157.184.175.123","Lexmark Pro4000 Series","44470217001FX","","","","","","","","","","",""
"157.184.175.111","Lexmark Pro5500 Series","EVERDVT4AIO4025","","","","","","","","","","",""
"157.184.175.152","Lexmark Pro4000 Series","44470217001FY","","","","","","","","","","",""
"157.184.175.133","Lexmark Pro910 Series","44491199016WX","","","","","","","","","","",""
"157.184.175.128","Lexmark Pro1000 Series","","","","","","","","","","","",""
"157.184.175.145","Lexmark Pro4000 Series","44470217001FN","","","","","","","","","","",""
"157.184.175.130","Lexmark Pro4000 Series","444702170018B","","","","","","","","","","",""
"157.184.175.151","Lexmark Pro4000 Series","44470217001G0","","","","","","","","","","",""
"157.184.175.147","Lexmark Pro4000 Series","44470217000VL","","","","","","","","","","",""
"157.184.175.154","Lexmark Pro4000 Series","4447021700135","","","","","","","","","","",""
"157.184.175.155","Lexmark Pro4000 Series","44470217001FF","","","","","","","","","","",""
"157.184.175.153","Lexmark Pro4000 Series","44470217001HB","","","","","","","","","","",""
"157.184.176.213","Lexmark X548","752500946026V","","","","","","","","","","",""
"157.184.174.81","Officejet Pro 8500 A909g","MY94D230PR","","","","","","","","","","",""
"157.184.176.106","Lexmark X945e","0230113","","","","","","","","","","",""
"157.184.176.109","Lexmark X945e","0230091","","","","","","","","","","",""
"157.184.139.140","Lexmark CS310","502794PTB2041","","","","","","","","","","",""
"157.184.174.97","Nucleus SNMP Agent","","","","","","","","","","","",""
"157.184.175.144","Nucleus SNMP Agent","","","","","","","","","","","",""
"157.184.193.92","Lexmark X945e","0210317","","","","","","","","","","",""
"157.184.193.99","Lexmark X656de","7935ZDT","","","","","","","","","","",""
"157.184.193.97","Lexmark X954","7558100401032","","","","","","","","","","",""
"157.184.195.78","Lexmark CX310","U5G4I7","","","","","","","","","","",""
"157.184.195.43","Lexmark X654de","NCW3DPU0","","","","","","","","","","",""
"157.184.195.44","Lexmark X203n","590002W","","","","","","","","","","",""
"157.184.195.45","Lexmark T644","7901LMN","","","","","","","","","","",""
"157.184.195.54","Lexmark X544","752794PTB2122","","","","","","","","","","",""
"157.184.195.64","Lexmark X646e","WM6WFY00","","","","","","","","","","",""
"157.184.195.77","Lexmark MX710","746323990001H","","","","","","","","","","",""
"157.184.195.85","Lexmark MX810","746312790001P","","","","","","","","","","",""
"157.184.195.66","Lexmark X422","N5RFJKI0","","","","","","","","","","",""
"157.184.195.55","Lexmark X658de","275CR51","","","","","","","","","","",""
"157.184.195.70","Lexmark X363dn","72S1010","","","","","","","","","","",""
"157.184.195.60","ModelName","","","","","","","","","","","",""
"157.184.195.102","Lexmark X860de","NUXNNDI0","","","","","","","","","","",""
"157.184.195.113","Lexmark MX711","746324990003G","","","","","","","","","","",""
"157.184.195.129","Lexmark X748","752694FSTA011","","","","","","","","","","",""
"157.184.195.146","ModelName","","","","","","","","","","","",""
"157.184.195.160","Lexmark MX811","746323990000W","","","","","","","","","","",""
"157.184.195.95","Lexmark X654de","TEST001","","","","","","","","","","",""
"157.184.195.145","Lexmark X656de","792Y5YY","","","","","","","","","","",""
"157.184.195.153","ModelName","","","","","","","","","","","",""
"157.184.195.190","Lexmark MX710","","","","","","","","","","","",""
"157.184.195.188","Lexmark X364dn","NXD4EI50","","","","","","","","","","",""
"157.184.206.142","HP LaserJet 200 colorMFP M275nw","CNB0CBC0DW","","","","","","","","","","",""
"157.184.206.167","Lexmark X656de","793Z6VD","","","","","","","","","","",""
"157.184.205.249","Lexmark X364dn","QTH29Y00","","","","","","","","","","",""
"157.184.205.41","Lexmark X940e","0233496","","","","","","","","","","",""
"157.184.207.15","Lexmark X945e","0210038","","","","","","","","","","",""
"157.184.207.11","Lexmark X854e","0610033","","","","","","","","","","",""
"157.184.207.17","Lexmark X646e","790K37B","","","","","","","","","","",""
"157.184.207.28","Lexmark X792","7562029400XVX","","","","","","","","","","",""
"157.184.207.30","Lexmark C782 4600 MFP","940P03H","","","","","","","","","","",""
"157.184.207.29","Lexmark X646e","79233WZ","","","","","","","","","","",""
"157.184.207.48","Lexmark X945e","0210708","","","","","","","","","","",""
"157.184.207.37","Lexmark X738de","9A41LAW","","","","","","","","","","",""
"157.184.207.31","Lexmark X864de","2405364","","","","","","","","","","",""
"157.184.207.32","Lexmark X646e","792PXPR","","","","","","","","","","",""
"157.184.207.35","Lexmark X646e","790GNDP","","","","","","","","","","",""
"157.184.207.34","Lexmark X646e","790GNFL","","","","","","","","","","",""
"157.184.207.146","Lexmark Pro5500 Series","44470117000GP","","","","","","","","","","",""
"157.184.207.213","Lexmark T640","79000LW","","","","","","","","","","",""
"157.184.207.218","Lexmark X658de","793DRBG","","","","","","","","","","",""
"157.184.207.234","Lexmark X656de","79G1841","","","","","","","","","","",""
"157.184.207.245","Lexmark X738de","9432MTD","","","","","","","","","","",""
"157.184.195.189","Lexmark C935","188503","","","","","","","","","","",""
"157.184.172.96","Lexmark Pro5500 Series","44470117000B2","","","","","","","","","","",""
"157.184.216.11","Lexmark C752","98100KF","","","","","","","","","","",""
"157.184.216.12","Lexmark C540","981029N","","","","","","","","","","",""
"157.184.216.27","Lexmark X736de","9420XPV","","","","","","","","","","",""
"157.184.216.50","Lexmark X548","75250094607HG","","","","","","","","","","",""
"157.184.216.75","Lexmark X738de","PLT1045","","","","","","","","","","",""
"157.184.216.61","Lexmark C736","94414NB","","","","","","","","","","",""
"157.184.216.103","Lexmark MX812","7463127900079","","","","","","","","","","",""
"157.184.216.206","Lexmark C532","KS0P010","","","","","","","","","","",""
"157.184.216.216","Lexmark T650","793N6C5","","","","","","","","","","",""
"157.184.216.226","Lexmark C540","98101CW","","","","","","","","","","",""
"157.184.216.224","Lexmark C543","98101K3","","","","","","","","","","",""
"157.184.216.73","Lexmark X656de","793GH8P","","","","","","","","","","",""
"157.184.217.82","Lexmark C925","ZGSE9","","","","","","","","","","",""
"157.184.217.87","Lexmark X738","9430056","","","","","","","","","","",""
"157.184.75.66","Lexmark MX812","746312790007Y","","","","","","","","","","",""
"157.184.217.141","Lexmark X363dn","72S1013","","","","","","","","","","",""
"157.184.217.159","Lexmark X860de","PTQD7700","","","","","","","","","","",""
"157.184.217.166","Lexmark X656de","QQWK6U00","","","","","","","","","","",""
"157.184.217.170","Lexmark MS410dn","abc123","","","","","","","","","","",""
"157.184.217.188","Lexmark X546","VKDVT1940003C","","","","","","","","","","",""
"157.184.217.196","Lexmark MS711","4063229900023","","","","","","","","","","",""
"157.184.217.186","Lexmark X548","4BE1Q4","","","","","","","","","","",""
"157.184.217.202","Lexmark CX310","752794PTB2028","","","","","","","","","","",""
"157.184.217.174","Lexmark X646e","monte1","","","","","","","","","","",""
"157.184.217.175","Lexmark Pro910 Series","nn","","","","","","","","","","",""
"157.184.217.206","Lexmark 6500e","NWE2NMU","","","","","","","","","","",""
"157.184.217.211","Lexmark MS812","406324990000Z","","","","","","","","","","",""
"157.184.217.171","Lexmark MX310dn","701520720001K","","","","","","","","","","",""
"157.184.217.227","Lexmark X544","752794PTB2121","","","","","","","","","","",""
"157.184.217.241","Lexmark M","4514PTB300095","","","","","","","","","","",""
"157.184.219.169","Lexmark X734de","MRN5Y500","","","","","","","","","","",""
"157.184.219.167","Lexmark T652","79340PM","","","","","","","","","","",""
"157.184.219.160","Lexmark X654de","DVT0133","","","","","","","","","","",""
"157.184.219.171","Lexmark T656","E8KT1400","","","","","","","","","","",""
"157.184.219.192","Lexmark W850","NED7LX80","","","","","","","","","","",""
"157.184.219.174","Lexmark E360dn","NX61ZCC0","","","","","","","","","","",""
"157.184.219.165","Lexmark X464de","35P05F2","","","","","","","","","","",""
"157.184.219.172","Lexmark X658de","N6QDEL00","","","","","","","","","","",""
