"Printer","Model","Serial Number","Memory","Print Speed","Color","Duplex","Copy","Scan to Fax","Scan to Email","Scan to Network","Fax Receive","Workflow Profile Capable","eSF Capable"
"157.184.82.78","Lexmark X738de","9435WP7","","","","","","","","","","",""
"157.184.75.31","Lexmark X463de","0607288","","","","","","","","","","",""
"157.184.75.27","Lexmark X738de","94333K5","","","","","","","","","","",""
"157.184.75.40","Lexmark CS310","","","","","","","","","","","",""
"157.184.75.35","Lexmark MX812","","","","","","","","","","","",""
"157.184.85.63","Lexmark W840","0510230","","","","","","","","","","",""
"157.184.86.145","Lexmark X945e","0213506","","","","","","","","","","",""
"157.184.86.140","Lexmark X656de","79404M8","","","","","","","","","","",""
"157.184.86.142","Lexmark X945e","0213320","","","","","","","","","","",""
"157.184.86.153","Lexmark X654de","7940G6M","","","","","","","","","","",""
"157.184.86.141","Lexmark X792","75620294005RZ","","","","","","","","","","",""
"157.184.86.143","Lexmark X654de","7941ZV7","","","","","","","","","","",""
"157.184.86.159","Lexmark C544","981022L","","","","","","","","","","",""
"157.184.86.146","Lexmark X646e","7924TBZ","","","","","","","","","","",""
"157.184.87.17","Lexmark X945e","0210701","","","","","","","","","","",""
"157.184.87.42","Lexmark X854e","0652308","","","","","","","","","","",""
"157.184.87.51","Lexmark CS310","N4AZTZ0","","","","","","","","","","",""
"157.184.87.41","Lexmark X656de","793Z6VW","","","","","","","","","","",""
"157.184.87.40","Lexmark C782 4600 MFP","940X5VW","","","","","","","","","","",""
"157.184.87.94","Lexmark CS510","502794PTB1121","","","","","","","","","","",""
"157.184.87.154","Lexmark C544","TIJ07500","","","","","","","","","","",""
"157.184.87.140","Lexmark MS810","406324990000G","","","","","","","","","","",""
"157.184.87.144","Lexmark MX710","746323990001R","","","","","","","","","","",""
"157.184.89.30","Lexmark CS310","502794FST0013","","","","","","","","","","",""
"157.184.89.46","HP Color LaserJet 3800","CNDRB00667","","","","","","","","","","",""
"157.184.89.44","Lexmark C544","502794ptb2071","","","","","","","","","","",""
"157.184.89.41","Lexmark X466dte","0609313","","","","","","","","","","",""
"157.184.89.70","Lexmark CS510","502794FST0070","","","","","","","","","","",""
"157.184.89.92","Lexmark C534","9417GMD","","","","","","","","","","",""
"157.184.89.58","Lexmark X945e","420448-","","","","","","","","","","",""
"157.184.89.88","Lexmark X546","752794PTB2192","","","","","","","","","","",""
"157.184.89.73","Lexmark X546","752794PTB2193","","","","","","","","","","",""
"157.184.89.68","Lexmark C792","50620194000N7","","","","","","","","","","",""
"157.184.89.65","Lexmark C935","AU6E2Y00","","","","","","","","","","",""
"157.184.89.91","Lexmark X734de","NVXFUI70","","","","","","","","","","",""
"157.184.89.59","Lexmark X544","752794PTB2134","","","","","","","","","","",""
"157.184.89.106","Lexmark C782","940WXNT","","","","","","","","","","",""
"157.184.81.221","Nucleus SNMP Agent","","","","","","","","","","","",""
"157.184.89.126","Lexmark X548dte","VKDVT1940000X","","","","","","","","","","",""
"157.184.89.109","Lexmark X651de","7937HM1","","","","","","","","","","",""
"157.184.89.103","Lexmark C772","DVT3034","","","","","","","","","","",""
"157.184.89.119","Lexmark X792","7562029400HRK","","","","","","","","","","",""
"157.184.89.128","Lexmark X736de","943420D","","","","","","","","","","",""
"157.184.89.121","Lexmark T644","7927H13","","","","","","","","","","",""
"157.184.89.124","Lexmark C792","5062019400TFM","","","","","","","","","","",""
"157.184.89.127","Lexmark X792","DVT0198","","","","","","","","","","",""
"157.184.89.137","Lexmark X543","752794PTB2032","","","","","","","","","","",""
"157.184.89.99","Lexmark CS310","502794FST0026","","","","","","","","","","",""
"157.184.89.102","Lexmark CS410","502794FST0031","","","","","","","","","","",""
"157.184.89.125","Lexmark C540","502794PTB2044","","","","","","","","","","",""
"157.184.81.182","Nucleus SNMP Agent","","","","","","","","","","","",""
"157.184.89.114","Lexmark Pro5500 Series","4447AA170001B","","","","","","","","","","",""
"157.184.89.129","Lexmark X548dte","VKDVT1940003K","","","","","","","","","","",""
"157.184.89.132","Lexmark CS410","502794FST0037","","","","","","","","","","",""
"157.184.89.138","Lexmark CS510","502794PTB2201","","","","","","","","","","",""
"157.184.89.93","Lexmark H4b","4514PTB300197","","","","","","","","","","",""
"157.184.89.139","Lexmark CS310","502794FST0020","","","","","","","","","","",""
"157.184.92.14","Lexmark X945e","0910069","","","","","","","","","","",""
